GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Less than high school graduate:,Margin of Error; Less than high school graduate:,Estimate; Less than high school graduate: - In labor force:,Margin of Error; Less than high school graduate: - In labor force:,Estimate; Less than high school graduate: - In labor force: - In Armed Forces,Margin of Error; Less than high school graduate: - In labor force: - In Armed Forces,Estimate; Less than high school graduate: - In labor force: - Civilian:,Margin of Error; Less than high school graduate: - In labor force: - Civilian:,Estimate; Less than high school graduate: - In labor force: - Civilian: - Employed,Margin of Error; Less than high school graduate: - In labor force: - Civilian: - Employed,Estimate; Less than high school graduate: - In labor force: - Civilian: - Unemployed,Margin of Error; Less than high school graduate: - In labor force: - Civilian: - Unemployed,Estimate; Less than high school graduate: - Not in labor force,Margin of Error; Less than high school graduate: - Not in labor force,Estimate; High school graduate (includes equivalency):,Margin of Error; High school graduate (includes equivalency):,Estimate; High school graduate (includes equivalency): - In labor force:,Margin of Error; High school graduate (includes equivalency): - In labor force:,Estimate; High school graduate (includes equivalency): - In labor force: - In Armed Forces,Margin of Error; High school graduate (includes equivalency): - In labor force: - In Armed Forces,Estimate; High school graduate (includes equivalency): - In labor force: - Civilian:,Margin of Error; High school graduate (includes equivalency): - In labor force: - Civilian:,Estimate; High school graduate (includes equivalency): - In labor force: - Civilian: - Employed,Margin of Error; High school graduate (includes equivalency): - In labor force: - Civilian: - Employed,Estimate; High school graduate (includes equivalency): - In labor force: - Civilian: - Unemployed,Margin of Error; High school graduate (includes equivalency): - In labor force: - Civilian: - Unemployed,Estimate; High school graduate (includes equivalency): - Not in labor force,Margin of Error; High school graduate (includes equivalency): - Not in labor force,Estimate; Some college or associate's degree:,Margin of Error; Some college or associate's degree:,Estimate; Some college or associate's degree: - In labor force:,Margin of Error; Some college or associate's degree: - In labor force:,Estimate; Some college or associate's degree: - In labor force: - In Armed Forces,Margin of Error; Some college or associate's degree: - In labor force: - In Armed Forces,Estimate; Some college or associate's degree: - In labor force: - Civilian:,Margin of Error; Some college or associate's degree: - In labor force: - Civilian:,Estimate; Some college or associate's degree: - In labor force: - Civilian: - Employed,Margin of Error; Some college or associate's degree: - In labor force: - Civilian: - Employed,Estimate; Some college or associate's degree: - In labor force: - Civilian: - Unemployed,Margin of Error; Some college or associate's degree: - In labor force: - Civilian: - Unemployed,Estimate; Some college or associate's degree: - Not in labor force,Margin of Error; Some college or associate's degree: - Not in labor force,Estimate; Bachelor's degree or higher:,Margin of Error; Bachelor's degree or higher:,Estimate; Bachelor's degree or higher: - In labor force:,Margin of Error; Bachelor's degree or higher: - In labor force:,Estimate; Bachelor's degree or higher: - In labor force: - In Armed Forces,Margin of Error; Bachelor's degree or higher: - In labor force: - In Armed Forces,Estimate; Bachelor's degree or higher: - In labor force: - Civilian:,Margin of Error; Bachelor's degree or higher: - In labor force: - Civilian:,Estimate; Bachelor's degree or higher: - In labor force: - Civilian: - Employed,Margin of Error; Bachelor's degree or higher: - In labor force: - Civilian: - Employed,Estimate; Bachelor's degree or higher: - In labor force: - Civilian: - Unemployed,Margin of Error; Bachelor's degree or higher: - In labor force: - Civilian: - Unemployed,Estimate; Bachelor's degree or higher: - Not in labor force,Margin of Error; Bachelor's degree or higher: - Not in labor force
310M300US10180,10180,"Abilene, TX Metro Area",81933,211,10436,596,5466,460,0,31,5466,460,5169,463,297,111,4970,398,26222,916,17359,739,194,101,17165,730,16542,724,623,164,8863,657,27951,1288,21058,1165,1036,216,20022,1139,19360,1121,662,180,6893,637,17324,875,14523,779,579,156,13944,799,13684,773,260,102,2801,364
310M300US10420,10420,"Akron, OH Metro Area",366649,186,25835,1295,13610,890,0,27,13610,890,11796,838,1814,255,12225,867,111930,2237,83471,2202,42,44,83429,2200,77423,2189,6006,658,28459,1171,109084,1954,88494,1883,48,36,88446,1892,83237,1798,5209,565,20590,1046,119800,1835,103971,1799,25,24,103946,1800,101222,1805,2724,314,15829,778
310M300US10500,10500,"Albany, GA Metro Area",77662,258,11358,700,5720,556,1,3,5719,556,4558,450,1161,264,5638,470,23636,1114,16258,1017,106,68,16152,1026,14505,969,1647,280,7378,643,27118,1174,20188,969,43,29,20145,971,18538,936,1607,319,6930,569,15550,873,13057,777,35,35,13022,770,12571,760,451,131,2493,385
310M300US10540,10540,"Albany, OR Metro Area",62045,304,5567,591,3498,484,0,28,3498,484,3024,429,474,185,2069,297,17890,892,12506,779,8,14,12498,779,11344,740,1154,236,5384,595,26670,961,19845,843,10,13,19835,840,18392,810,1443,320,6825,549,11918,783,9567,724,16,29,9551,723,9016,703,535,186,2351,320
310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",463151,295,30331,1332,17076,1097,0,27,17076,1097,15101,1026,1975,322,13255,856,111762,1947,83555,1746,173,93,83382,1751,78518,1751,4864,497,28207,1035,143882,2538,115960,2303,625,179,115335,2310,109824,2237,5511,551,27922,1112,177176,2725,156523,2568,404,136,156119,2555,152438,2487,3681,382,20653,870
310M300US10740,10740,"Albuquerque, NM Metro Area",477734,293,54648,2037,31718,1442,0,28,31718,1442,28023,1382,3695,418,22930,1368,115409,2745,78877,2493,130,105,78747,2488,72948,2424,5799,624,36532,1435,160601,2381,120968,2523,844,162,120124,2553,112884,2430,7240,721,39633,1249,147076,2294,122855,2380,1095,175,121760,2339,118079,2229,3681,474,24221,968
310M300US10780,10780,"Alexandria, LA Metro Area",79361,247,11554,739,5066,568,0,29,5066,568,4498,521,568,178,6488,601,30198,1111,19745,965,6,9,19739,965,17914,854,1825,384,10453,677,23313,1001,16634,909,104,83,16530,895,15728,838,802,235,6679,590,14296,896,12017,849,110,126,11907,856,11659,858,248,74,2279,338
310M300US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",435423,239,35049,1401,21326,1182,0,27,21326,1182,19000,1108,2326,336,13723,822,138087,2012,106573,2103,74,78,106499,2087,99569,1959,6930,608,31514,1276,128701,1991,106734,1821,117,55,106617,1811,101081,1829,5536,556,21967,817,133586,1896,116556,1963,35,34,116521,1966,112544,1917,3977,401,17030,799
310M300US11020,11020,"Altoona, PA Metro Area",64180,199,4621,488,2247,328,0,24,2247,328,2006,309,241,77,2374,317,27678,879,19473,808,0,24,19473,808,18438,808,1035,169,8205,551,17204,656,13691,534,15,19,13676,536,13113,538,563,155,3513,408,14677,692,12832,683,4,6,12828,683,12645,674,183,71,1845,241
310M300US11100,11100,"Amarillo, TX Metro Area",134597,289,19907,951,12295,797,0,31,12295,797,11820,798,475,177,7612,532,35108,1176,25041,1015,16,19,25025,1013,23893,954,1132,284,10067,584,48842,1054,39616,1119,107,62,39509,1129,38729,1120,780,155,9226,577,30740,1234,26550,1151,25,48,26525,1135,26078,1102,447,152,4190,399
