SizeRank,RegionID,RegionName,RegionType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
0,102001,United States,Country,0.9190927027132557,0.9183673469387755,0.9264024761579488,0.9322033898305084,0.9368421052631579,0.9382716049382716,0.933955970647098,0.9324009324009324,0.9254642849374998,0.9217422736309416,0.917686318131257,0.9142053445850914,0.9101608473911338,0.9090909090909091,0.9130434782608695,0.9193548387096774,0.9261576971214017,0.9312320916905444,0.9318253833495506,0.9292929292929293,0.9259259259259259,0.9234550561797753,0.9222222222222223,0.9215376513954713,0.9195402298850575,0.9216300940438872,0.9301425096170843,0.9386281588447654,0.9473407056345445,0.9515859766277128,0.9523809523809523,0.9506172839506173,0.9494949494949495,0.9486029665401863,0.9478672985781991,0.9463157894736842,0.9451505902661037,0.9473684210526315,0.9534883720930233,0.9593023255813954,0.9640745793542519,0.9669596847529555,0.9669889963321107,0.9647058823529412,0.9612403100775194,0.9573542210617929,0.9531772575250836,0.9498956158663883,0.9461538461538461,0.9481456620238295,0.9541397353031702,0.9591067129956219,0.9636586361780318,0.9666444296197465,0.9649329253942104,0.9615384615384616,0.9575471698113207,0.953590333716916,0.9514285714285714,0.9487590072057646,0.9469823274424808,0.95,0.9584393553859203,0.9644670050761421,0.9693558474046279,0.9713876967095851,0.9697938336037535,0.9666666666666667,0.963302752293578,0.9599946659554607,0.9574468085106383,0.9559804357492219,0.9541484716157205,0.9560287515803894,0.963855421686747,0.9697674418604652,0.9741803246748186,0.97581317764804,0.97525,0.9726091329594044,0.9693251533742331,0.9666666666666667,0.9647058823529412,0.9620364920541495,0.95999058602024,0.9621993127147767,0.9692307692307692,0.9748427672955975,0.9784810126582278,0.9806451612903225,0.9795748228428511,0.9761904761904762,0.9733333333333334,0.9704321455648218,0.9682911257714407,0.9661286656058196,0.9643652561247216,0.9683873549419768,0.9749303621169917,0.9795501022494888,0.9825,0.9837837837837838,0.9814814814814815,0.9769305917737828,0.9727974727974728,0.968756054725342,0.9652190699462087,0.9614810391161541,0.958985841157139,0.963265306122449,0.9694323144104804,0.9749910682386567
1,394913,"New York, NY",Msa,0.8998302207130731,0.8992481203007519,0.897085208388482,0.9068354452640106,0.9112596505485575,0.9214092140921409,0.9223398336439759,0.9212950776520137,0.9098497495826378,0.9104761904761904,0.9096198603568658,0.9066666666666666,0.8993288590604027,0.8978142042599131,0.8972069124319826,0.903010033444816,0.905938992201837,0.9136420525657072,0.9218436873747495,0.9203958726563483,0.9090909090909091,0.9015354275250035,0.8945539661669064,0.8923076923076924,0.8839050131926122,0.8888908642019204,0.8922558922558923,0.9,0.9090909090909091,0.9180327868852459,0.9273182957393483,0.9255663430420712,0.9225295933311435,0.919732441471572,0.9170965054549645,0.918580375782881,0.9147286821705426,0.9203956985026218,0.9142857142857143,0.9258544623916609,0.9381791638711274,0.9458786188245186,0.9499136442141624,0.9538950715421304,0.950714431516636,0.9449311639549437,0.9411764705882353,0.938476800976801,0.9370354055393426,0.9347597254004577,0.93584158661603,0.9358974358974359,0.9492799531484251,0.9558826340832104,0.9579439252336449,0.9559776392582587,0.9491525423728814,0.9428571428571428,0.9391891891891891,0.9384615384615385,0.9361547725658524,0.9366474689299787,0.935251798561151,0.944,0.9488510007412898,0.9546925566343042,0.9605405405405405,0.9584775086505191,0.9545382545757702,0.9482614702665362,0.9437751004016064,0.9428571428571428,0.9402985074626866,0.9396355353075171,0.9429918559794256,0.9462726419859999,0.9546313799621928,0.9599555061179088,0.963855421686747,0.9632107023411371,0.9593858143610594,0.9566666666666667,0.952819332566168,0.9508942926937597,0.9491453284326633,0.9498138691687079,0.9515151515151515,0.9577777777777777,0.9645051176163376,0.9681818181818181,0.9711538461538461,0.9707298999629492,0.9669889963321107,0.9649122807017544,0.9619047619047619,0.9609120521172638,0.9576271186440678,0.9547038327526133,0.958967266021208,0.9629629629629629,0.9694117647058823,0.9729533974488529,0.9746861949548293,0.9714308843594688,0.9670079635949943,0.963855421686747,0.9598853868194842,0.9569377990430622,0.9521882329566513,0.9500015833359722,0.9502660745008602,0.9583333333333334
2,753899,"Los Angeles-Long Beach-Anaheim, CA",Msa,0.9619047619047619,0.9544827586206897,0.9645304076728225,0.9690920670302113,0.9692982456140351,0.9681082647218003,0.9669889963321107,0.9625091666666666,0.9572266298723697,0.9536082474226805,0.9498680738786279,0.9444444444444444,0.9443777511004402,0.9379820038815158,0.9436280083520625,0.9491133082234777,0.9507774339755506,0.9498702957754974,0.948509485094851,0.9463058900450707,0.9409008663230618,0.9432729089164356,0.9424397152456832,0.9437869822485208,0.9413369713506139,0.9456073485307255,0.94972067039106145,0.9577394348587147,0.9652736904061212,0.9726476309691947,0.9754877438719359,0.9772727272727273,0.9780907668231612,0.9814222527930132,0.9835036306600766,0.9846153846153847,0.9898442646931915,0.995407280857167,1,1,1.0000012500015625,1.000161972205475,1,1,0.9988107128698963,0.9867452135493373,0.9816462736373749,0.9789063872138634,0.9758064516129032,0.9789473684210527,0.9830508474576272,0.9853854183394893,0.9854999963749991,0.9840296822068075,0.9834933461551418,0.9786641929499073,0.9752769876689068,0.9727272727272728,0.9714285714285714,0.9698085419734904,0.9683794466403162,0.975609756097561,0.981312820440464,0.9865081917721181,0.98886262366776,0.989522700814901,0.9885386819484241,0.9869281045751634,0.9849749582637729,0.9810901001112347,0.9779492632225697,0.9790888606295876,0.9780850125018385,0.9812515332055206,0.9876234529316165,0.9899954054021323,0.9924812030075187,0.9924552602793537,0.9928251121076234,0.9887359198998749,0.9859959988568162,0.9833333333333333,0.9823008849557522,0.9799554565701559,0.9795129321123401,0.9834972495415902,0.9904952476238119,0.9999975,1,1,1,0.9942363112391931,0.9907834101382489,0.9899749373433584,0.9893048128342246,0.9873892352639981,0.9881266490765171,0.993194011356875,1,1,1,1,0.9941774668430132,0.9907995417699886,0.9838579394444734,0.9802681495088252,0.975,0.9713877036809674,0.9692070641223184,0.9736842105263158,0.979765708200213,0.9823899371069182
3,394463,"Chicago, IL",Msa,0.8806024495200264,0.8731241473396999,0.8803418803418803,0.8893335584143258,0.896358543417367,0.9077434073013129,0.90625,0.9045454545454545,0.899399879265651,0.8939343400650939,0.8819033538377439,0.8764536434439347,0.8701849144303118,0.8835443037974684,0.8785881238892612,0.8825672171627764,0.8916920400173989,0.9,0.8997386121582304,0.9,0.8888888888888888,0.8863017074458721,0.8796644388749653,0.8807640191786533,0.88,0.8779728828628585,0.8814285714285715,0.8933333333333333,0.9090909090909091,0.9193697868396663,0.9213839928068894,0.9224557126278791,0.9237875288683602,0.9185989256454024,0.9171597633136095,0.9183673469387755,0.9123492994460737,0.9171634778889692,0.920863309352518,0.9333333333333333,0.9454545454545454,0.9515649580104573,0.9549795361527967,0.9535767398482595,0.9531772575250836,0.9494024383995703,0.9420289855072463,0.939183987682833,0.9370424597364568,0.9380304937421331,0.9375,0.9473684210526315,0.9553196288498329,0.958891539732061,0.9564643799472295,0.9546603023070803,0.9481114558094246,0.9409409409409409,0.9357857373346241,0.929968167348795,0.925,0.9265857694429123,0.9304652326163082,0.9464285714285714,0.954653937947494,0.9585996110030564,0.9559804357492219,0.9523809523809523,0.9467667023937121,0.9426702577914583,0.9394023615813499,0.9335111449799962,0.9285714285714286,0.9296186166774403,0.9428571428571428,0.9546925566343042,0.9606986899563319,0.9632107023411371,0.962278675904542,0.96,0.9548330653067938,0.9504132231404959,0.9475982532751092,0.9423049044316079,0.9386446886446886,0.9425962625382434,0.9523809523809523,0.9619246861924686,0.968,0.9698239321336279,0.9683666881859264,0.9636521110842754,0.9595753368721928,0.9555555555555556,0.9508116071380566,0.9488677867056245,0.9433962264150944,0.944,0.9569377990430622,0.9682804674457429,0.970873786407767,0.9717062017719348,0.9693877551020408,0.9648614985176219,0.96,0.9555555555555556,0.95,0.9423076923076923,0.9379310344827586,0.9444135630906059,0.9541984732824428,0.9658502932045533
4,394514,"Dallas-Fort Worth, TX",Msa,0.9761480862908838,0.974484418767507,0.9891377983063895,0.9898722860791827,0.9939167810244223,0.9894179894179894,0.9776329917032699,0.9720560088938299,0.9788095238095238,0.9665586592178771,0.9615476589894154,0.9520797846035497,0.9505247732575043,0.9576405838540143,0.9613733905579399,0.9676258992805755,0.9699840352360077,0.9708803088803089,0.9641746335245379,0.96443216080402006,0.9638,0.960354314297624,0.9631035138260137,0.9625668449197861,0.9641266246022757,0.9780674357198872,0.9773439903846154,0.9823311688311688,0.9880666666666666,0.9879529872673849,0.9884515730612728,0.98643219724438,0.9852328573733462,0.9789917355371901,0.9823578937437472,0.9854662794449822,0.9842458583985509,0.9844919964111642,0.9896240894203998,0.9941647292598113,0.9942596795727637,0.9917126401939982,0.989286870087841,0.9854352417655765,0.9869430454042083,0.9803712611466118,0.9763732728331709,0.97622886676908,0.9734273972602739,0.9732094240837696,0.9784313308249077,0.9855750863896839,0.9860096549345196,0.9847668872134174,0.9858507936507936,0.9818560443058626,0.9819610914105594,0.9705657142857143,0.9698937198067633,0.9791946461361208,0.9741703212306048,0.9777066666666666,0.9880273139745916,0.989522700814901,0.9948717948717949,1.0024271844660195,0.9897641172265904,0.9896965480773299,0.9858467545143973,0.977352836413896,0.9778085564789166,0.9740993636314991,0.9744897959183674,0.9806451612903225,0.9892099792099792,0.9912767425810904,0.9963851952048426,0.9947107939339874,0.9917921645033043,0.9903834586466166,0.9839983050847457,0.9812007602896211,0.9714901365705615,0.9731404025951055,0.9793540791081701,0.97997997997998,0.9837898267188373,0.9903903869240004,0.9887391861843291,0.9909480705097665,0.9895248020008337,0.9810071926717825,0.9790419161676647,0.9741044061302682,0.9733333333333334,0.9717314487632509,0.9718666666666667,0.9771061224489795,0.981124952812382,0.9887704328176603,0.9898947862904857,0.9863418877772945,0.9821446109725196,0.9773182121414277,0.974050024050024,0.9724914753353034,0.9706787527645391,0.9685492063492064,0.9666666666666667,0.9772698154153279,0.982652461750984,0.9862974904154875
5,394974,"Philadelphia, PA",Msa,0.916819469911652,0.9160892994611239,0.91792656587473,0.930115635997989,0.9358446144791054,0.9399896516040014,0.9340126019273536,0.9238851003803512,0.9232625182437935,0.914179104477612,0.9151162790697674,0.907607370124831,0.9030785004297806,0.8976960623907817,0.8973999453528337,0.9014925373134328,0.9160763598807647,0.9233610341643582,0.924415089776918,0.9145905798869364,0.908245681546092,0.9045330864409584,0.8990805067008152,0.9012607538749311,0.8931761343336906,0.89171974522293,0.8999497234791353,0.9078319741498692,0.9210526315789473,0.9310344827586207,0.9330143540669856,0.9286428571428571,0.9237368922783603,0.9178082191780822,0.9185675914431857,0.9215376513954713,0.9167430682891593,0.9176470588235294,0.9207317073170732,0.9288368105172906,0.9404702351175588,0.9496546863988724,0.9531511287625418,0.9463148316651502,0.9413793103448276,0.9374609130706691,0.9293556321049812,0.929601111015687,0.9262168447799826,0.9219131672843388,0.9287054409005628,0.9347826086956522,0.9446146772493049,0.9545454545454546,0.9523809523809523,0.9476122226527464,0.9405672999732406,0.9377344336084021,0.9306654257794323,0.9269406392694064,0.9227314669612134,0.92,0.926829268292683,0.9417556257911583,0.9528346831824679,0.9544775818697797,0.9574164046870535,0.950950950950951,0.9423076923076923,0.9418873469730602,0.9386733416770964,0.9349510138983823,0.9290657439446367,0.9317347218416004,0.9339320083120548,0.9496402877697842,0.96,0.9640287769784173,0.9636709422578541,0.9605575567954185,0.9568929110105581,0.9538461538461539,0.9502375593898474,0.9487179487179487,0.9433962264150944,0.9393755627836889,0.9493670886075949,0.959966611018364,0.9666666666666667,0.9712380158399333,0.9696969696969697,0.9652958710879157,0.962278675904542,0.96,0.9562740260950229,0.9542713567839196,0.9516129032258065,0.9490320969151992,0.9565217391304348,0.9636730911786509,0.9722518360578062,0.9770114942528736,0.9748427672955975,0.9732142857142857,0.9683666881859264,0.9622641509433962,0.9599093044281061,0.9561872909698996,0.95,0.9484489234576806,0.9537837837837838,0.9646302250803859
6,394692,"Houston, TX",Msa,0.9464285714285714,0.9407636363636364,0.95329772511155,0.9556156156156156,0.9617463264613946,0.9586767010678661,0.9479984484096199,0.9392110874200427,0.9378559616106039,0.9281342462365925,0.917160425396988,0.9155173066233377,0.9116598067798548,0.9121057692307692,0.9188631195998181,0.9272866666666667,0.9280560747663551,0.9243063063983867,0.9171797290147454,0.9237854077253219,0.9283784615384615,0.9239172413793103,0.9225242718446602,0.9244895853307766,0.9233603230251748,0.9363294117647059,0.9299256718124642,0.9403805668016194,0.9487953941541187,0.9528072289156626,0.9547805642633229,0.9587348944537604,0.9564367346938776,0.9436537802950474,0.9420326922369727,0.9428571428571428,0.9485028022417934,0.9442398280656106,0.9517311143231373,0.9533817815635568,0.9589265101962293,0.9589578432033663,0.9586473761745501,0.9506053684225511,0.9595234042553191,0.951052319213144,0.944547572892667,0.9428571428571428,0.9451895556188791,0.9433962264150944,0.9558179984726318,0.9668433734939759,0.9677063091073974,0.9737894736842105,0.9689652946858183,0.9738461538461538,0.9645562670188533,0.9587370600414079,0.950931506849315,0.9584,0.9738891640866874,0.9695723247863248,0.9696969696969697,0.9706785137318256,0.9767942951598452,0.9824133333333334,0.9719126213592233,0.9718693355990937,0.9647999426605505,0.9554191304347827,0.9604802401200601,0.9528686868686869,0.9569377990430622,0.955223697650664,0.964617067833698,0.9719014626635873,0.9716614583333333,0.9712333835576286,0.9712321307011572,0.9680208088523305,0.9607924904740879,0.9487179487179487,0.9517473118279569,0.95,0.948051948051948,0.9512195121951219,0.9588366844583112,0.9593675540520665,0.9670591614700967,0.9628483248022336,0.967741935483871,0.9593878752207181,0.95343259587669,0.9571428571428572,0.9573048699132756,0.9512893982808023,0.9557912280701755,0.9554025805338651,0.9601873536299765,0.9698304816120581,0.97,0.9686138851495893,0.9662921348314607,0.9621068586585828,0.961080971659919,0.9502056388429723,0.9472367480531206,0.9452481864383389,0.95,0.9572742022714981,0.9549362044286196,0.9682164194915255
7,395209,"Washington, DC",Msa,0.95,0.9524565501704729,0.9555555555555556,0.9660870751747059,0.9656042475428867,0.9661109567472446,0.9629629629629629,0.9576837416481069,0.9554140127388535,0.9559804357492219,0.9546694375892973,0.9503029531666416,0.9482160493827161,0.9481018261623158,0.9557575757575758,0.9601728314938072,0.9634505531506333,0.9666666666666667,0.9636818187416101,0.9587242008329159,0.954194050658121,0.9511111111111111,0.949928469241774,0.9496074955684983,0.9435742592942065,0.9485062395534135,0.9575020172135558,0.9695290858725761,0.9748743718592965,0.9750853213369507,0.9751950390078016,0.9713406424312367,0.9714285714285714,0.9699909063352531,0.9711428571428572,0.9693799046007078,0.9668654221486053,0.9704497219023713,0.9791921664626683,0.9872029250457038,0.9908256880733946,0.9936034115138592,0.9917355371900827,0.9868334373483114,0.9832691967213,0.9813610127956119,0.9761885862457382,0.974025974025974,0.9663440998759011,0.9714285714285714,0.9799713876967096,0.9849977269283224,0.9881743690593248,0.9871794871794872,0.9819593514501027,0.9769195260809356,0.97165991902834,0.969912436631773,0.9665489674379282,0.9615214468582591,0.9583333333333334,0.9629629629629629,0.9746088740702744,0.9820460296421255,0.9859959988568162,0.9849184364419822,0.9803902343366997,0.9759638651395386,0.9718252347897101,0.9700948212983224,0.9677734375,0.964140285275662,0.9620761324755915,0.9638116021094745,0.9747899159663865,0.9839144891049061,0.9877384990419384,0.9858902874454503,0.9855072463768116,0.9801960392078416,0.9766485130727796,0.9769713886950454,0.9754877438719359,0.970515624800133,0.9701940388077616,0.9727904788942514,0.9829311359623308,0.9915966386554622,0.9922935520361991,0.991810737033667,0.9882352941176471,0.9836065573770492,0.9824561403508771,0.9815327793167128,0.979765708200213,0.9743589743589743,0.972492358988608,0.9782857142857143,0.9883720930232558,0.9991167608908949,1,1,0.9936624416277519,0.9874326750448833,0.9838383838383838,0.9818181818181818,0.9786324786324786,0.9738234632043772,0.9746088740702744,0.98,0.9884060040142536,1
8,394856,"Miami-Fort Lauderdale, FL",Msa,0.8756384959114876,0.8670520231213873,0.8672761928700097,0.8724988366682178,0.8822143698468787,0.89086859688196,0.9041245112961471,0.9090909090909091,0.9047619047619048,0.9041095890410958,0.9047619047619048,0.9018036072144289,0.9045226130653267,0.9025663331883428,0.8909512575519316,0.8947368421052632,0.8955223880597015,0.898132134209616,0.9026780324766236,0.911971243935772,0.9157509157509157,0.9104552276138069,0.912621359223301,0.9166666666666666,0.918918918918919,0.9163907734056989,0.9184000567944945,0.9191919191919192,0.9230769230769231,0.9288333630391037,0.9332624113475178,0.9377316530763529,0.9372384937238494,0.9386733416770964,0.9411764705882353,0.9358288770053476,0.9405405405405406,0.9375,0.9366715758468336,0.9411764705882353,0.9421468504227162,0.9428571428571428,0.9489795918367347,0.9514563106796117,0.94972067039106145,0.9496263454352797,0.9471050750536097,0.9437751004016064,0.9418837675350702,0.9389551759607846,0.9373354397051079,0.9361702127659575,0.9375,0.9415584415584416,0.94,0.9401709401709402,0.9411764705882353,0.939183987682833,0.9363636363636364,0.9354838709677419,0.933750615451481,0.9321804001356392,0.9343148357870895,0.935064935064935,0.9411764705882353,0.9444135630906059,0.944,0.943289224952741,0.9433962264150944,0.942252355630889,0.9432603330003879,0.9411764705882353,0.9385113268608414,0.9375686964167949,0.9411764705882353,0.9408846716539024,0.94237686773658,0.9456,0.9459459459459459,0.9459459459459459,0.9452340900830654,0.9440183486238531,0.9432528272953805,0.9422492401215805,0.9380692167577414,0.9387096774193548,0.9387118632054303,0.9401709401709402,0.9411764705882353,0.9418721163256747,0.9411764705882353,0.9443806728054183,0.9428571428571428,0.9432127194522061,0.9407372565415839,0.9411764705882353,0.9385113268608414,0.9404761904761905,0.9415457041977247,0.9428571428571428,0.9420289855072463,0.945,0.9444444444444444,0.9468888274336283,0.9428571428571428,0.9417040358744395,0.9415520728780831,0.9388646288209607,0.9353448275862069,0.9341317365269461,0.9383561643835616,0.9387503847337643
9,394347,"Atlanta, GA",Msa,0.8760951188986232,0.88,0.87870890168738,0.8889876762737399,0.8947368421052632,0.9057822003288487,0.9032258064516129,0.9002572163475279,0.8888888888888888,0.8931761343336906,0.8727272727272727,0.8752941176470588,0.8682445603498234,0.8561815430558479,0.8747220163083765,0.872382185288038,0.891455763323002,0.8940690469164946,0.8922880815806246,0.8947826086956522,0.8857795172863665,0.8893829905503057,0.9,0.899814126394052,0.9022556390977443,0.8952987564452533,0.9141176470588235,0.9285714285714286,0.9331285714285714,0.9371428571428572,0.9399075500770416,0.942488940180804,0.9403832505322924,0.9454636409113648,0.9466666666666667,0.9459987743803224,0.9449847137298499,0.9534883720930233,0.9559969650986343,0.9608942107221687,0.9626483202287348,0.9641223831481605,0.963066120870999,0.9625,0.96,0.9574014909478168,0.9545454545454546,0.9515717926932881,0.95,0.9523809523809523,0.95625,0.9626500666963095,0.9647058823529412,0.9652329749103943,0.9636363636363636,0.9571428571428572,0.9542857142857143,0.95,0.9479127166841981,0.9473684210526315,0.947354563343588,0.9491217257318952,0.9600048000480005,0.9646302250803859,0.9696969696969697,0.9696969696969697,0.9672326365672843,0.963020030816641,0.9607686148919136,0.956900974858902,0.9555555555555556,0.9540540540540541,0.9538461538461539,0.9586206896551724,0.9655607202345922,0.9727272727272728,0.9777777777777777,0.977401848471191,0.975609756097561,0.9734362766420183,0.9695977924496679,0.9684807780578001,0.9669850642037912,0.9644489588623667,0.9654827413706853,0.9666666666666667,0.975,0.9791666666666666,0.9821157926644438,0.9807988888788679,0.9794871794871794,0.9754877438719359,0.9733333333333334,0.9708861750164182,0.9709090909090909,0.9710144927536232,0.9695652173913043,0.9752980084775874,0.98,0.9869158878504672,0.9884678747940692,0.9869298479594558,0.9851851851851852,0.98,0.977262391996362,0.973294893661748,0.9717133620689655,0.9702127659574468,0.9664429530201343,0.9722572068289952,0.9777592290910451,0.9801684724397026
