RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05
102001,United States,0,187700,184800,180500,176500,174600,173600,172700,171200,169200,166500,163600,161900,159200,155500,151500,150800,152600,155500,157300,158200,159700,161100,163400,163200,164e3,161100,159100,155600,156100,156900,158800,158200,158600,157800,158e3,157e3,154500,152e3,149100,148900,149400,149800,149200,148e3,148200,149e3,149e3,148400,148100,149200,151100,153100,154800,156400,157300,158600,159700,162200,163e3,163100,163300,164900,167400,169100,171600,173600,174100,174400,174e3,174800,174100,174800,174900,175500,175900,176700,178e3,179700,181300,182100,182200,182400,184100,186100,188400,190200,191700,192300,192800,192400,192600,191900,192100,194e3,196e3,196700,196e3,196300,197400,198800,199100,200200,201e3,203200,205300,206500,207700,208400,208800,209200,208900,210100,210400,211e3,212500,214300,217700,219e3,221400,224700,227800,228200,225200,224e3,222800,222700,222200,223900,227100,229100,231600,233200,235400,234900,
394913,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362600,361800,361900,363600,366e3,361900,356500,353600,353200,350500,340100,329200,324600,322400,324e3,324300,329400,331700,335800,335800,334600,334100,336200,338100,335900,333400,329700,331200,330900,334600,337100,340600,348500,352200,354900,350900,348500,347700,348400,349400,35e4,352100,352300,353e3,354200,353800,353300,352400,353e3,355500,354200,353800,352800,350500,351300,350300,353300,355400,356600,357600,357400,355700,357500,358100,359900,359200,359100,359800,360600,360300,361100,361e3,360400,356300,359800,363700,373e3,373800,374400,374e3,371600,374200,374500,379800,380900,381800,381500,382700,384300,383700,384e3,386100,389700,391900,390600,390900,389700,389800,388500,387800,390800,
753899,"Los Angeles-Long Beach-Anaheim, CA",2,475100,463100,447900,436500,421100,407100,392100,379800,368300,356400,342100,331400,325e3,321e3,320600,326500,334300,341e3,348800,355900,363700,366600,371e3,368900,367400,363e3,366900,364100,365200,360100,366800,365700,369e3,363900,360200,356400,354300,355e3,352400,348200,347e3,344500,344400,338500,338800,336600,337500,335300,335900,340100,342800,347800,353800,362300,372200,377900,387500,395300,398600,399500,404600,419400,433e3,442400,446300,449300,451800,454300,455400,455300,453400,455e3,454900,458800,462700,463700,465800,466200,470500,474300,475400,477100,477700,484100,488900,494300,493200,497e3,498500,502900,500900,499700,501600,510200,517200,518700,518300,521300,527e3,528800,528100,530400,532500,530900,529900,525700,529100,522400,527700,529300,538800,539900,541500,542800,550100,562100,579800,588900,597200,599300,606700,608e3,612600,613600,614800,614300,618300,623400,630800,628300,629300,622800,627400,630300,631100
394463,"Chicago, IL",3,254700,251100,236700,224200,222500,222500,226700,225300,222800,219400,212900,210400,205900,201400,193100,187100,187800,191100,194300,196600,198700,198500,198100,198600,196400,193200,186e3,185300,183200,184400,181900,183700,186700,187400,184900,180600,176600,171600,165100,162500,165400,169400,170500,168600,165500,166100,162500,161900,159e3,159800,158500,161600,163600,166100,165700,164600,165700,164100,164700,162600,162100,162300,166e3,172500,183300,188600,193300,194100,195600,195600,193e3,194800,193600,193300,191200,192900,196100,200200,204600,205400,204300,201100,201500,201700,203500,204600,205300,203800,202e3,195e3,191600,187500,187500,186e3,183900,183300,183900,186100,187e3,188300,189400,192100,192e3,193500,195900,200100,203300,204900,205700,205200,204400,202500,200600,199500,199200,200800,202800,205700,209e3,213100,220700,222400,220400,217700,219300,219900,218700,219200,226100,224700,227800,231900,243200,244600,239700
394514,"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200100,203400,203800,203800,202200,202400,204100,204700,205600,205700,206800,208400,212900,216400,219200,219300,218800,219800,219700,219e3,220300,224100,229800,232e3,232800,232300,232200,233200,234900,237200,238900,239900,241700,244100,246200,246300,245700,245800,248e3,248e3,250600,252100,254100,252500,250500,249100,249e3,249100,
394974,"Philadelphia, PA",5,211800,210400,206200,198e3,195e3,195100,196800,197200,198100,196600,196100,196600,201e3,200700,195200,188500,185800,188900,190900,192600,193700,197e3,2e5,202100,203200,202700,197500,191300,188500,185900,187700,187900,192600,194700,2e5,201800,199600,193400,184400,181100,180300,182200,180900,179400,179400,182400,184200,187700,187100,186800,184600,186400,186700,187700,182600,182700,185100,192400,195600,195300,193500,192300,190200,191300,193600,197500,196500,195500,194400,194800,194700,194e3,196e3,193900,192400,191e3,191300,192500,193e3,194600,193900,192300,191800,190100,190700,192400,194500,195e3,193500,192200,193100,193400,193500,190200,192300,197700,198400,195700,191500,193800,195500,195700,196100,194200,195200,198400,199e3,201800,200200,201900,201800,201900,201700,199600,197800,196600,196100,199300,199500,198800,198400,199200,201900,199700,198400,197800,198800,200300,202400,204100,207800,210600,214900,218800,
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181800,181400,184e3,185600,187700,187100,188e3,189400,189900,191e3,190900,191400,192300,192300,192900,189700,189500,188700,191900,193100,194600,192500,192800,193800,197900,201100,202600,204200,205900,208100,211300,212500,214900,215e3,214500,214800,214900,216500,216300,218900,220100,220800,218800,217800,219200,221200,224600,224900,222600,220800,219600,222600,225700,229500,231800,226600,224300,222400,225200,
395209,"Washington, DC",7,357100,347500,331500,317100,311700,309900,302300,294200,287100,281200,281500,278700,281800,275900,272600,272700,281800,296e3,303400,303500,301500,301300,301e3,297400,295300,298600,297300,291500,291600,284400,294100,291100,305800,305600,303800,301200,287600,279500,271200,272800,284700,294100,304600,297400,291e3,284100,285200,281700,291e3,295900,307700,312e3,320300,321600,319800,317400,319300,318100,319800,316200,324300,327200,337400,340700,346200,347400,344e3,340800,339900,340400,341700,339500,341600,341200,350200,350300,354100,348e3,346900,345900,348100,351300,349600,349900,355500,357100,356800,348700,346400,344500,347200,349300,350100,346200,346700,349800,350600,351900,349200,350700,35e4,351900,353400,357500,356500,357500,358200,358700,36e4,359100,359800,359e3,359300,36e4,362e3,362900,364800,367e3,370200,373400,381700,384e3,384400,377700,373600,373500,374800,376500,378100,378100,381500,384900,395300,393800,
394856,"Miami-Fort Lauderdale, FL",8,257700,248800,235600,228e3,223500,221600,214e3,206100,195200,187600,175700,167600,158400,151300,141900,137300,137600,141e3,143e3,143200,143900,145300,145900,146300,146e3,144600,143800,141200,137100,131200,126100,127500,130200,130300,122900,118400,114800,118300,120100,123400,127e3,125500,124100,122700,124500,128400,131100,133800,134900,136900,137900,140700,140300,141e3,141800,145e3,147500,152900,155800,160200,158100,159700,162700,167100,169500,170900,172800,174300,176300,177900,180400,179400,180100,179700,182200,184700,187300,186900,187100,187700,191700,194300,195100,196200,197800,200500,205200,207800,209e3,207400,207200,208200,205700,206800,207900,216300,218e3,221300,219e3,220200,220500,221800,224400,228300,229200,230300,229300,234700,235500,239200,236400,237500,235100,238100,241300,244400,245200,246400,250900,255300,258600,257300,255100,253e3,250500,250300,25e4,256100,260200,263400,262400,265600,269700,271300,267600
394347,"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95e3,95700,96200,98200,97e3,97e3,96800,97300,98600,100700,104200,106600,108800,110100,113700,117300,121400,123600,126300,128100,132e3,136200,142e3,143400,143100,141100,140300,140400,140600,140300,139300,140500,144800,15e4,154200,155300,156400,156e3,158100,16e4,162200,162800,168600,171300,173500,17e4,17e4,170800,170700,171700,172900,174800,175100,174500,173500,172800,171700,173500,174100,176e3,176900,179400,179500,181500,182300,186500,187300,189500,189200,189500,189e3,190100,192100,193200,195500,198300,203400,205e3,206100,205100,205500,204500,201200,203300,205200,210100,209600,211900,213500,214900,213e3,
