Geographical Area,Population_2000,Population 2010,Area in square miles,Population density 2000,Population density 2010
United States,"281,421,906","308,745,538","3,531,905.4",79.7,87.4
Inside core based statistical area,"262,290,227","289,261,315","1,649,928.4",159.0,175.3
In metropolitan statistical area,"233,069,827","258,317,763","912,992.1",255.3,282.9
"Abilene, TX","160,245","165,252","2,743.5",58.4,60.2
"Akron, OH","694,960","703,200",900.1,772.1,781.2
"Albany, GA","157,833","157,308","1,932.6",81.7,81.4
"Albany-Schenectady-Troy, NY","825,875","870,716","2,811.6",293.7,309.7
"Albuquerque, NM","729,649","887,077","9,282.5",78.6,95.6
"Alexandria, LA","145,035","153,922","1,961.0",74.0,78.5
"Allentown-Bethlehem-Easton, PA-NJ","740,395","821,173","1,453.2",509.5,565.1
"Altoona, PA","129,144","127,089",525.8,245.6,241.7
"Amarillo, TX","226,522","249,881","3,649.2",62.1,68.5
"Ames, IA","79,981","89,542",572.8,139.6,156.3
"Anchorage, AK","319,605","380,821","26,312.6",12.1,14.5
"Anderson, IN","133,358","131,636",451.9,295.1,291.3
"Anderson, SC","165,740","187,126",715.4,231.7,261.6
"Ann Arbor, MI","322,895","344,791",706.0,457.4,488.4
"Anniston-Oxford, AL","112,249","118,572",605.9,185.3,195.7
"Appleton, WI","201,602","225,666",955.8,210.9,236.1
"Asheville, NC","369,171","424,858","2,033.0",181.6,209.0
"Athens-Clarke County, GA","166,079","192,541","1,024.8",162.1,187.9
"Atlanta-Sandy Springs-Marietta, GA","4,247,981","5,268,860","8,338.5",509.4,631.9
"Atlantic City-Hammonton, NJ","252,552","274,549",555.7,454.5,494.1
"Auburn-Opelika, AL","115,092","140,247",607.5,189.4,230.8
"Augusta-Richmond County, GA-SC","499,684","556,877","3,270.3",152.8,170.3
"Austin-Round Rock-San Marcos, TX","1,249,763","1,716,289","4,219.9",296.2,406.7
"Bakersfield-Delano, CA","661,645","839,631","8,131.9",81.4,103.3
"Baltimore-Towson, MD","2,552,994","2,710,489","2,601.5",981.4,"1,041.9"
"Bangor, ME","144,919","153,923","3,397.4",42.7,45.3
"Barnstable Town, MA","222,230","215,888",393.7,564.4,548.3
"Baton Rouge, LA","705,973","802,484","4,026.9",175.3,199.3
"Battle Creek, MI","137,985","136,146",706.2,195.4,192.8
"Bay City, MI","110,157","107,771",442.3,249.1,243.7
"Beaumont-Port Arthur, TX","385,090","388,745","2,100.5",183.3,185.1
"Bellingham, WA","166,814","201,140","2,106.9",79.2,95.5
"Bend, OR","115,367","157,733","3,018.2",38.2,52.3
"Billings, MT","138,904","158,050","4,682.1",29.7,33.8
"Binghamton, NY","252,320","251,725","1,224.4",206.1,205.6
"Birmingham-Hoover, AL","1,052,238","1,128,047","5,279.5",199.3,213.7
"Bismarck, ND","94,719","108,779","3,558.9",26.6,30.6
"Blacksburg-Christiansburg-Radford, VA","151,272","162,958","1,072.5",141.0,151.9
"Bloomington, IN","175,506","192,714","1,322.3",132.7,145.7
"Bloomington-Normal, IL","150,433","169,572","1,183.4",127.1,143.3
"Boise City-Nampa, ID","464,840","616,561","11,765.6",39.5,52.4
"Boston-Cambridge-Quincy, MA-NH","4,391,344","4,552,402","3,487.4","1,259.2","1,305.4"
"Boulder, CO","269,814","294,567",726.3,368.2,405.6
"Bowling Green, KY","104,166","125,953",844.5,123.3,149.1
"Bremerton-Silverdale, WA","231,969","251,133",394.9,587.4,635.9
"Bridgeport-Stamford-Norwalk, CT","882,567","916,829",624.9,"1,412.4","1,467.2"
"Brownsville-Harlingen, TX","335,227","406,220",890.9,376.3,456.0
"Brunswick, GA","93,044","112,370","1,286.4",72.3,87.4
"Buffalo-Niagara Falls, NY","1,170,111","1,135,509","1,565.1",747.6,725.5
"Burlington, NC","130,800","151,131",423.9,308.5,356.5
"Burlington-South Burlington, VT","198,889","211,261","1,252.1",158.8,168.7
"Canton-Massillon, OH","406,934","404,422",969.9,419.6,417.0
"Cape Coral-Fort Myers, FL","440,888","618,754",784.5,562.0,788.7
"Cape Girardeau-Jackson, MO-IL","90,312","96,275","1,431.9",63.1,67.2
"Carson City, NV","52,457","55,274",144.7,362.6,382.1
"Casper, WY","66,533","75,450","5,340.4",12.5,14.1
"Cedar Rapids, IA","237,230","257,940","2,008.8",118.1,128.4
"Champaign-Urbana, IL","210,275","231,891","1,921.1",109.5,120.7
"Charleston, WV","309,635","304,284","2,527.7",122.5,120.4
"Charleston-North Charleston-Summerville, SC","549,033","664,607","2,588.2",212.1,256.8
"Charlotte-Gastonia-Rock Hill, NC-SC","1,330,448","1,758,038","3,085.2",431.2,569.8
"Charlottesville, VA","174,021","201,559","1,644.0",105.8,122.6
"Chattanooga, TN-GA","476,531","528,143","2,089.0",228.1,252.8
"Cheyenne, WY","81,607","91,738","2,685.9",30.4,34.2
"Chicago-Joliet-Naperville, IL-IN-WI","9,098,316","9,461,105","7,196.8","1,264.2","1,314.6"
"Chico, CA","203,171","220,000","1,636.5",124.2,134.4
"Cincinnati-Middletown, OH-KY-IN","2,009,632","2,130,151","4,391.9",457.6,485.0
"Clarksville, TN-KY","232,000","273,949","2,157.4",107.5,127.0
"Cleveland, TN","104,015","115,788",763.4,136.2,151.7
